Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
499,21.40000000000001,0,-0.5999999999999908,0.0
500,21.40000000000001,0,-0.5999999999999908,0.0
501,21.40000000000001,0,-0.5999999999999908,0.0
502,21.40000000000001,0,-0.5999999999999908,0.0
503,21.40000000000001,0,-0.5999999999999908,0.0
504,21.40000000000001,0,-0.5999999999999908,0.0
505,21.40000000000001,0,-0.5999999999999908,0.0
506,21.40000000000001,0,-0.5999999999999908,0.0
507,21.40000000000001,0,-0.5999999999999908,0.0
508,21.40000000000001,0,-0.5999999999999908,0.0
509,21.40000000000001,0,-0.5999999999999908,0.0
510,21.40000000000001,0,-0.5999999999999908,0.0
511,21.40000000000001,0,-0.5999999999999908,0.0
512,21.40000000000001,0,-0.5999999999999908,0.0
513,21.40000000000001,0,-0.5999999999999908,0.0
514,21.40000000000001,0,-0.5999999999999908,0.0
515,21.40000000000001,0,-0.5999999999999908,0.0
516,21.40000000000001,0,-0.5999999999999908,0.0
517,21.40000000000001,0,-0.5999999999999908,0.0
518,21.40000000000001,0,-0.5999999999999908,0.0
519,21.40000000000001,0,-0.5999999999999908,0.0
520,21.40000000000001,0,-0.5999999999999908,0.0
521,21.40000000000001,0,-0.5999999999999908,0.0
522,21.40000000000001,0,-0.5999999999999908,0.0
523,21.40000000000001,0,-0.5999999999999908,0.0
524,21.40000000000001,0,-0.5999999999999908,0.0
525,21.40000000000001,0,-0.5999999999999908,0.0
526,21.40000000000001,0,-0.5999999999999908,0.0
527,21.40000000000001,0,-0.5999999999999908,0.0
528,21.40000000000001,0,-0.5999999999999908,0.0
529,21.40000000000001,0,-0.5999999999999908,0.0
530,21.40000000000001,0,-0.5999999999999908,0.0
531,21.40000000000001,0,-0.5999999999999908,0.0
532,21.40000000000001,0,-0.5999999999999908,0.0
533,21.40000000000001,0,-0.5999999999999908,0.0
534,21.40000000000001,0,-0.5999999999999908,0.0
535,21.40000000000001,0,-0.5999999999999908,0.0
536,21.40000000000001,0,-0.5999999999999908,0.0
537,21.40000000000001,0,-0.5999999999999908,0.0
538,21.40000000000001,0,-0.5999999999999908,0.0
539,21.40000000000001,0,-0.5999999999999908,0.0
540,21.40000000000001,0,-0.5999999999999908,0.0
541,21.40000000000001,0,-0.5999999999999908,0.0
542,21.40000000000001,0,-0.5999999999999908,0.0
543,21.40000000000001,0,-0.5999999999999908,0.0
544,21.40000000000001,0,-0.5999999999999908,0.0
545,21.40000000000001,0,-0.5999999999999908,0.0
546,21.40000000000001,0,-0.5999999999999908,0.0
547,21.40000000000001,0,-0.5999999999999908,0.0
548,21.40000000000001,0,-0.5999999999999908,0.0
549,21.40000000000001,0,-0.5999999999999908,0.0
550,21.40000000000001,0,-0.5999999999999908,0.0
551,21.40000000000001,0,-0.5999999999999908,0.0
552,21.40000000000001,0,-0.5999999999999908,0.0
553,21.40000000000001,0,-0.5999999999999908,0.0
554,21.40000000000001,0,-0.5999999999999908,0.0
555,21.40000000000001,0,-0.5999999999999908,0.0
556,21.40000000000001,0,-0.5999999999999908,0.0
557,21.40000000000001,0,-0.5999999999999908,0.0
558,21.40000000000001,0,-0.5999999999999908,0.0
559,21.40000000000001,0,-0.5999999999999908,0.0
560,21.40000000000001,0,-0.5999999999999908,0.0
561,21.40000000000001,0,-0.5999999999999908,0.0
562,21.40000000000001,0,-0.5999999999999908,0.0
563,21.40000000000001,0,-0.5999999999999908,0.0
564,21.40000000000001,0,-0.5999999999999908,0.0
565,21.40000000000001,0,-0.5999999999999908,0.0
566,21.40000000000001,0,-0.5999999999999908,0.0
567,21.40000000000001,0,-0.5999999999999908,0.0
568,21.40000000000001,0,-0.5999999999999908,0.0
569,21.40000000000001,0,-0.5999999999999908,0.0
570,21.40000000000001,0,-0.5999999999999908,0.0
571,21.40000000000001,0,-0.5999999999999908,0.0
572,21.40000000000001,0,-0.5999999999999908,0.0
573,21.40000000000001,0,-0.5999999999999908,0.0
574,21.40000000000001,0,-0.5999999999999908,0.0
575,21.40000000000001,0,-0.5999999999999908,0.0
576,21.40000000000001,0,-0.5999999999999908,0.0
577,21.40000000000001,0,-0.5999999999999908,0.0
578,21.40000000000001,0,-0.5999999999999908,0.0
579,21.40000000000001,0,-0.5999999999999908,0.0
580,21.40000000000001,0,-0.5999999999999908,0.0
581,21.40000000000001,0,-0.5999999999999908,0.0
582,21.40000000000001,0,-0.5999999999999908,0.0
583,21.40000000000001,0,-0.5999999999999908,0.0
584,21.40000000000001,0,-0.5999999999999908,0.0
585,21.40000000000001,0,-0.5999999999999908,0.0
586,21.40000000000001,0,-0.5999999999999908,0.0
587,21.40000000000001,0,-0.5999999999999908,0.0
588,21.40000000000001,0,-0.5999999999999908,0.0
589,21.40000000000001,0,-0.5999999999999908,0.0
590,21.40000000000001,0,-0.5999999999999908,0.0
591,21.40000000000001,0,-0.5999999999999908,0.0
592,21.40000000000001,0,-0.5999999999999908,0.0
593,21.40000000000001,0,-0.5999999999999908,0.0
594,21.40000000000001,0,-0.5999999999999908,0.0
